name,title
Dr. Tarek Assi,Digital Dentistry
Dr. Tarun Agarwal,General Dentist & Founder of 3D Dentists - 'T-Bone'
Dr. Taylor Jean Manalili,Director of Clinical Prosthodontics
Dr. Thaisa Bordin,"DDS, MSc, PhD, DMD"
Dr. Theo Katsaros,"DDS, MSD, FRCD(C)"
Dr. Thomas D. Taylor,Professor and Head of Reconstructive Sciences
Dr. Timothy A. Hess,Neurotoxins in Prosthodontics
Dr. Timothy McVaney,"Owner and Periodontist, Specialty Dental Care P.C."
Dr. Todd Scheyer,"DDS, MS"
Dr. Tom Deans,Financial Strategist
Dr. Tony Rotondo,Prosthodontist
Dr. Tuan G. Bui,Ambulatory Anesthesia Expert
Dr. Van Ramos Jr.,Prosthodontics
Dr. Vinay M. Bhide,"DDS, MSc, FRCDC"
Dr. Vishy Broumand,Oral & Maxillofacial Surgeon - Zygomatic Implant Specialist
Dr. Vivianne Chappuis,DMD
Dr. Véronique Benhamou,"BSc, DDS, Cert.Perio"
Dr. Wael Att,Prosthodontist
Dr. Waldemar Polido,Oral and Maxillofacial Surgeon
Dr. Walter C. Chitwood Jr.,"DDS, FAAID, DABOI/ID"
Dr. Wei-Shao Lin,Full-Arch Implant Rehabilitation
Dr. Wenche S. Borgnakke,"DDS, MPH, PhD"
Dr. Will Martin,Prosthodontist
Dr. William Liang,"DMD, DABOI/ID, Honored Fellow AAID"
Dr. William V. Giannobile,"DDS, DMSc"
Dr. William Victor Giannobile,"DDS, MS, DMSc"
Dr. Yahya Mansour,"Co-Founder and Chief Dental Officer, Rodeo Dental & Orthodontics"
Dr. Yolanda Natali Raico Gallardo,PhD in Oral Rehabilitation - University of São Paulo
Dr. Yota Stathopoulou,"DDS, DMD, PhD"
Dr. Yu Zhang,Professor of Dental Materials
Dr. Yusuke Hamada,Sedation Dentistry
Dr. Zeeshan Sheikh,"BDS, MSc, M.Perio, PhD, FIADFE, FRCDC, Dip-ABP"
Ed McLaren,Director
Edward Khalameizer,"CDT - Director, Lab Services NAM - Straumann Group"
Edward Khalameizer,Digital Services Specialist
Emily Letran,"Doctor of Dental Surgery, Master of Science"
Emily Vanney,Chief Operating and Clinical Officer
Eric Tobler,Dental Technology Expert
Erin A. O'Neil,"RDH, BA, MS, MPH, Chief Compliance and Hygiene Officer, Passion Dental"
Eva Boldridge,Private Practice
Francesca Pregano,"Chief Operating Officer, Smile Makers Dental Center"
Frank J. Tuminelli,Clinical Professor
George Mandelaris,"DDS, MS"
German Gallucci,Chair of Restorative Dentistry - Harvard School of Dental Medicine
Grant Bester,Executive Commercial Leader - Straumann Group North America
Greig Davis,"CPA CVA MST, Managing Partner"
Haim Haviv,Founder and Chief Executive Officer
Heather Foster,Chief Executive Officer
Hoss Said,"MBA, Vice President"
Jack Marrano,Digital Full-Arch Workflows
Jackson Tralongo,"President, T Management"
Jaideep R. Deshpande,"Executive Director, Strategy and Marketing, College of Dentistry, University of Illinois Chicago"
Jaime Burks,"Senior Director, Operations, Providence Dental Partners"
Jason Coss,Event Coordinator
Jason Huml,"Chief Operating Officer, Chicago Dental Partners"
Jason Korkus,"DDS, President, Sonrisa Family Dental, Community Dental Centers of America"
Jason Mann,"DMD, Co-Founder and Chief Dental Officer, Providence Dental Partners"
Jeffrey Tomcsik,"Chief Executive Officer, Grand Dental Group"
Jessica Russell,Product Specialist
Jessica Woods,Case Acceptance
Joe Feldsien,"President, Medical, PDS Health"
John Sorensen,Professor
Joseph Kolligian,Dental Professional
Joshua Edward Everts,"DDS, MD, FACS, Chief Clinical Officer, OMS360; Owner and Surgeon, Community Oral Facial Surgery"
Judy Kay Mausolf,Team Management & Leadership Expert
Julie Brossoit,Digital Services Specialist
Justin Lai,Dental Technology Expert
Kalpesh Patel,Dental Professional
Kate Wilson,"DMD, Senior Vice President, Clinical Affairs, Premier Care Dental Management"
